JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
163,1.16958,0.94891,2.52697,0.3102,0.10084,0.05977,0.00145,0.05336,21.70224,1.72396,42.91827,43.78025,2.5,111.49836
164,1.58235,0.93916,1.48949,0.2958,0.149,0.0768,0.00148,0.01489,14.36658,2.22469,27.25083,28.36317,2.5,103.94899
165,1.21786,0.99892,2.02001,0.37493,0.15306,0.07131,0.00143,809.73217,5.97481,1.77879,10.4407,11.33009,2.5,112.46982
166,1.42128,1.00727,2.45139,0.31962,0.10941,0.08729,0.00131,0.1398,24.98091,1.81022,49.58438,50.4895,2.5,101.17806
167,1.25021,1.00005,2.20857,0.28315,0.15888,0.05102,0.00141,0.04834,23.56546,1.97353,46.49738,47.48415,2.5,101.1533
168,1.37041,0.9782,2.12338,0.25438,0.18145,0.08971,0.00134,0.01922,30.70644,2.63325,60.51239,61.82901,2.5,103.24664
169,1.21812,0.91613,1.38261,0.29744,0.10733,0.08733,0.00148,620.33776,8.6706,1.80486,15.96636,16.8688,2.5,110.61735
170,1.05841,0.92465,2.00655,0.37239,0.16453,0.06749,0.0014,357.99242,10.45359,1.76377,19.68324,20.56513,2.5,101.54836
171,1.14508,0.95639,2.42878,0.3348,0.17764,0.07696,0.00147,0.06038,21.59875,1.95565,42.44983,43.42765,2.5,100.9545
172,1.36308,1.08067,1.16901,0.39696,0.17366,0.08743,0.00132,584.4923,7.76381,1.88065,14.01703,14.95736,2.5,104.90878
173,1.42501,0.97273,2.41602,0.35595,0.12215,0.07173,0.00148,0.05942,25.3357,1.79831,50.33019,51.22935,2.5,100.90391
174,1.30473,0.92652,1.74143,0.29311,0.12093,0.06523,0.0014,934.11253,6.48438,1.84571,11.42191,12.34476,2.5,114.16771
175,1.33637,1.0021,2.47694,0.31023,0.12984,0.08765,0.00134,0.05396,23.27113,1.94121,45.91837,46.88898,2.5,100.773
176,1.01576,1.0957,1.82341,0.38223,0.13964,0.0362,0.00142,988.07092,7.26996,1.66316,13.23524,14.06683,2.5,121.9075
177,1.02731,0.95948,2.08743,0.26514,0.13931,0.06026,0.00145,0.04901,22.02671,1.92134,43.37677,44.33744,2.5,103.93364
178,1.23665,0.93137,1.21965,0.33963,0.11695,0.08027,0.0013,1047.04916,7.23726,1.7162,13.11243,13.97053,2.5,134.75939
179,1.02403,1.09118,2.3192,0.322,0.19768,0.03193,0.00145,0.08166,20.46714,1.79153,40.30061,41.19637,2.5,101.96497
180,1.53066,1.09442,2.36706,0.38579,0.13051,0.0543,0.00144,0.11533,29.01717,1.79825,57.91834,58.81747,2.5,102.22282
181,1.59002,0.99179,2.41355,0.34312,0.17424,0.07429,0.00136,0.08124,20.83494,2.09615,40.73578,41.78386,2.5,104.11801
182,0.95231,1.03046,2.48151,0.35277,0.13333,0.08311,0.0014,0.06458,19.54471,1.72395,38.46858,39.33055,2.5,108.10209
183,1.31032,1.04153,2.07627,0.31978,0.16754,0.08635,0.00141,0.06392,26.83577,2.10699,53.08893,54.14242,2.5,104.74113
184,1.47909,0.95443,2.47654,0.38625,0.16069,0.08187,0.00137,0.01936,26.00983,1.88808,51.62339,52.56743,2.5,103.21367
185,1.13496,0.98646,2.55149,0.33844,0.17536,0.0495,0.00133,0.01976,20.98703,1.82575,41.33866,42.25154,2.5,101.35021
186,0.91561,1.07195,2.33496,0.38209,0.13042,0.08813,0.00135,0.03879,19.1972,1.67292,37.81041,38.64687,2.5,111.26619
187,1.00564,0.96749,2.53349,0.28878,0.17847,0.06601,0.00148,0.03065,20.74534,1.96418,40.69284,41.67492,2.5,109.7367
188,1.42183,0.90786,2.36229,0.28976,0.10058,0.083,0.00133,0.06439,26.53764,1.83481,52.77353,53.69094,2.5,117.68796
189,1.59466,0.95622,2.07863,0.25699,0.19993,0.04143,0.00132,0.02089,17.59047,2.16129,33.97662,35.05726,2.5,114.73773
190,1.12237,1.00059,2.45975,0.36664,0.13803,0.05193,0.00134,0.03725,21.08467,1.71461,41.65492,42.51223,2.5,108.49775
191,1.20544,0.92486,2.35159,0.39587,0.14616,0.08199,0.00136,0.05361,22.37677,1.74775,44.28533,45.15921,2.5,108.40094
192,1.09448,0.9205,1.51317,0.37458,0.12791,0.03121,0.00144,899.96904,6.95857,1.66128,12.59483,13.42547,2.5,123.19425
193,1.22577,1.06606,2.51414,0.26099,0.13569,0.08613,0.00137,0.08175,22.07112,2.22634,43.1436,44.25677,2.5,109.21006
194,1.38903,1.09086,2.10282,0.33871,0.14728,0.0889,0.0014,0.09329,28.51277,1.97711,56.68756,57.67611,2.5,113.78217
195,1.18343,1.03227,2.34491,0.31943,0.15032,0.08914,0.00148,0.01519,21.68578,1.9807,42.60645,43.5968,2.5,119.60131
196,1.35402,0.92003,2.52524,0.30966,0.1522,0.04463,0.0014,0.03689,23.33259,1.88534,46.10425,47.04692,2.5,107.51544
197,1.27988,0.99784,2.3727,0.35697,0.17049,0.03918,0.00146,0.01495,22.71961,1.81666,44.91371,45.82204,2.5,110.08057
198,1.09292,1.02533,2.43416,0.28157,0.15376,0.06789,0.00142,0.02851,20.9897,1.98582,41.16636,42.15927,2.5,115.49319
199,1.26352,1.07229,0.97098,0.2712,0.13264,0.07771,0.0014,1016.63019,6.54226,2.03968,11.3348,12.35464,2.5,124.69615
200,1.04808,1.04289,2.21739,0.26928,0.18729,0.05019,0.00147,0.03611,21.12515,1.96097,41.472,42.45249,2.5,110.10097
